Company Name,Symbol
AU Small Finance Bank Ltd.,AUBANK
Amara Raja Batteries Ltd.,AMARAJABAT
Apollo Tyres Ltd.,APOLLOTYRE
Ashok Leyland Ltd.,ASHOKLEY
Balkrishna Industries Ltd.,BALKRISIND
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bata India Ltd.,BATAINDIA
Bharat Electronics Ltd.,BEL
Bharat Forge Ltd.,BHARATFORG
Bharat Heavy Electricals Ltd.,BHEL
Canara Bank,CANBK
Castrol India Ltd.,CASTROLIND
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN
Coforge Ltd.,COFORGE
Container Corporation of India Ltd.,CONCOR
Cummins India Ltd.,CUMMINSIND
Escorts Ltd.,ESCORTS
Exide Industries Ltd.,EXIDEIND
Federal Bank Ltd.,FEDERALBNK
GMR Infrastructure Ltd.,GMRINFRA
Glenmark Pharmaceuticals Ltd.,GLENMARK
Godrej Properties Ltd.,GODREJPROP
IDFC First Bank Ltd.,IDFCFIRSTB
Indiabulls Housing Finance Ltd.,IBULHSGFIN
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC
Jindal Steel & Power Ltd.,JINDALSTEL
L&T Finance Holdings Ltd.,L&TFH
LIC Housing Finance Ltd.,LICHSGFIN
Mahanagar Gas Ltd.,MGL
Mahindra & Mahindra Financial Services Ltd.,M&MFIN
Manappuram Finance Ltd.,MANAPPURAM
Max Financial Services Ltd.,MFSL
MindTree Ltd.,MINDTREE
Page Industries Ltd.,PAGEIND
Power Finance Corporation Ltd.,PFC
RBL Bank Ltd.,RBLBANK
REC Ltd.,RECLTD
SRF Ltd.,SRF
Shriram Transport Finance Co. Ltd.,SRTRANSFIN
Steel Authority of India Ltd.,SAIL
Sun TV Network Ltd.,SUNTV
TVS Motor Company Ltd.,TVSMOTOR
Tata Power Co. Ltd.,TATAPOWER
The Ramco Cements Ltd.,RAMCOCEM
Torrent Power Ltd.,TORNTPOWER
Union Bank of India,UNIONBANK
Vodafone Idea Ltd.,IDEA
Voltas Ltd.,VOLTAS
Zee Entertainment Enterprises Ltd.,ZEEL
