Company Name,Symbol
APL Apollo Tubes Ltd.,APLAPOLLO
Aarti Drugs Ltd.,AARTIDRUGS
Affle (India) Ltd.,AFFLE
Alkyl Amines Chemicals Ltd.,ALKYLAMINE
Alok Industries Ltd.,ALOKINDS
Amber Enterprises India Ltd.,AMBER
Avanti Feeds Ltd.,AVANTIFEED
Bajaj Electricals Ltd,BAJAJELEC
Bharat Dynamics Ltd.,BDL
Birla Corporation Ltd.,BIRLACORPN
Birlasoft Ltd.,BSOFT
Can Fin Homes Ltd.,CANFINHOME
Ceat Ltd.,CEATLTD
Central Depository Services (India) Ltd.,CDSL
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT
Cochin Shipyard Ltd.,COCHINSHIP
Computer Age Management Services Ltd.,CAMS
Cyient Ltd.,CYIENT
Dilip Buildcon Ltd.,DBL
Firstsource Solutions Ltd.,FSL
Future Retail Ltd.,FRETAIL
GMM Pfaudler Ltd.,GMMPFAUDLR
Granules India Ltd.,GRANULES
Graphite India Ltd.,GRAPHITE
Happiest Minds Technologies Ltd.,HAPPSTMNDS
IDFC Ltd.,IDFC
Indian Bank,INDIANB
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM
Kajaria Ceramics Ltd.,KAJARIACER
Kec International Ltd.,KEC
Multi Commodity Exchange of India Ltd.,MCX
NBCC (India) Ltd.,NBCC
National Aluminium Co. Ltd.,NATIONALUM
PNB Housing Finance Ltd.,PNBHOUSING
PVR Ltd.,PVR
RITES Ltd.,RITES
Radico Khaitan Ltd,RADICO
Rail Vikas Nigam Ltd.,RVNL
Rallis India Ltd.,RALLIS
Route Mobile Ltd.,ROUTE
Sterlite Technologies Ltd.,STLTECH
Strides Pharma Science Ltd.,STAR
Sun Pharma Advanced Research Company Ltd.,SPARC
Sunteck Realty Ltd.,SUNTECK
TV18 Broadcast Ltd.,TV18BRDCST
Thyrocare Technologies Ltd.,THYROCARE
UTI Asset Management Company Ltd.,UTIAMC
V.I.P. Industries Ltd.,VIPIND
Vakrangee Ltd.,VAKRANGEE
Wockhardt Ltd.,WOCKPHARMA
